,0
0,17.069211959838867
1,17.60021209716797
2,18.17909812927246
3,18.832168579101562
4,19.454015731811523
5,20.08177375793457
6,20.61033821105957
7,20.91759490966797
8,21.023996353149414
9,20.93796157836914
10,20.716867446899414
11,20.451509475708008
12,20.216678619384766
13,20.03841781616211
14,19.901044845581055
15,19.78261947631836
16,19.67971420288086
17,19.60123634338379
18,19.552467346191406
19,19.53004264831543
20,19.52688980102539
21,19.537260055541992
22,19.55738639831543
23,19.583797454833984
24,19.61256217956543
25,19.63998031616211
26,19.66339111328125
27,19.68138885498047
28,19.69353675842285
29,19.700071334838867
30,19.70170783996582
31,19.699504852294922
32,19.694669723510742
33,19.688379287719727
34,19.68164825439453
35,19.67525863647461
36,19.669757843017578
37,19.66545867919922
38,19.66248321533203
39,19.660789489746094
40,19.660219192504883
41,19.660545349121094
42,19.661510467529297
43,19.662851333618164
44,19.664344787597656
45,19.665802001953125
46,19.667083740234375
47,19.668107986450195
48,19.66883659362793
49,19.669273376464844
