,0
0,21.23496437072754
1,21.21596908569336
2,21.391191482543945
3,21.47068214416504
4,21.498546600341797
5,21.395191192626953
6,21.399248123168945
7,21.463459014892578
8,21.481470108032227
9,21.543764114379883
10,21.583385467529297
11,21.590269088745117
12,21.563232421875
13,21.549924850463867
14,21.548480987548828
15,21.551712036132812
16,21.57172966003418
17,21.590011596679688
18,21.597488403320312
19,21.59288215637207
20,21.585500717163086
21,21.57871437072754
22,21.575992584228516
23,21.58049201965332
24,21.587520599365234
25,21.59271240234375
26,21.59385108947754
27,21.591821670532227
28,21.588205337524414
29,21.585466384887695
30,21.58538055419922
31,21.587324142456055
32,21.589801788330078
33,21.59138298034668
34,21.591474533081055
35,21.590301513671875
36,21.58884048461914
37,21.588045120239258
38,21.58820915222168
39,21.589040756225586
40,21.589946746826172
41,21.59041404724121
42,21.590269088745117
43,21.58973503112793
44,21.58921241760254
45,21.5889892578125
46,21.58913230895996
47,21.5894832611084
48,21.58980369567871
49,21.589916229248047
